f_attemps,f_ishometeam,f_Corners,f_Offsides,f_Ball_Posession,f_Yellow_cards,f_Red_cards,f_Fouls_suffered,f_passes_attemted,f_passes_completed,f_pass_completion_rate,f_diameter,f_largest_cliques,f_countmax_cliques,f_reciprocity,f_global_clustering,f_diversity,f_hubs,f_authorities,f_pagerank_max,f_pagerank_mean,f_pagerank_median,f_assortativity,f_AverageNeighborhood,f_degree_centralization,f_betweenness_centralization,f_closeness_centralization,s_attemps,s_ishometeam,s_Corners,s_Offsides,s_Ball_Posession,s_Yellow_cards,s_Red_cards,s_Fouls_suffered,s_passes_attemted,s_passes_completed,s_pass_completion_rate,s_diameter,s_largest_cliques,s_countmax_cliques,s_reciprocity,s_global_clustering,s_diversity,s_hubs,s_authorities,s_pagerank_max,s_pagerank_mean,s_pagerank_median,s_assortativity,s_AverageNeighborhood,s_degree_centralization,s_betweenness_centralization,s_closeness_centralization,label
18,1,7,0,0.47,3,0,13,457,385,0.84,5,9,1,0.8505747126436781,0.8126984126984127,1.8919964934735662,0.12033895397511013,0.13547718543351872,0.1442247878321675,0.09090909090909093,0.10110594465817267,-0.23901441897532408,8.039826839826839,17.400000000000002,0.25555555555555554,9.250874125874125,11,0,4,2,0.53,0,0,15,558,491,0.88,6,6,10,0.8461538461538461,0.7261904761904762,1.6164644086257969,0.11187533926330956,0.11723738231189623,0.14356613096731374,0.09090909090909091,0.10103988341377217,-0.1752309141712084,7.377236652236652,15.600000000000003,0.3555555555555555,8.618548118548118,1
11,0,4,2,0.53,0,0,15,558,491,0.88,6,6,10,0.8461538461538461,0.7261904761904762,1.6164644086257969,0.11187533926330956,0.11723738231189623,0.14356613096731374,0.09090909090909091,0.10103988341377217,-0.1752309141712084,7.377236652236652,15.600000000000003,0.3555555555555555,8.618548118548118,18,1,7,0,0.47,3,0,13,457,385,0.84,5,9,1,0.8505747126436781,0.8126984126984127,1.8919964934735662,0.12033895397511013,0.13547718543351872,0.1442247878321675,0.09090909090909093,0.10110594465817267,-0.23901441897532408,8.039826839826839,17.400000000000002,0.25555555555555554,9.250874125874125,0
8,1,3,0,0.31,3,1,9,279,221,0.79,5,7,3,0.7123287671232876,0.6787234042553192,1.8065071652616693,0.10768543440692507,0.10761920647811658,0.1260429844919797,0.0909090909090909,0.08926851787668445,-0.2242527395277329,6.508874458874459,14.600000000000001,0.43333333333333335,8.272509353391706,17,0,6,2,0.69,2,0,10,717,652,0.91,6,10,2,0.9306930693069307,0.919047619047619,1.9933627705006074,0.11782950703160804,0.1261990338704225,0.15615865394923534,0.09090909090909091,0.07998150231657032,-0.144976768630389,9.210389610389608,20.2,0.1,10.227272727272727,0
17,0,6,2,0.69,2,0,10,717,652,0.91,6,10,2,0.9306930693069307,0.919047619047619,1.9933627705006074,0.11782950703160804,0.1261990338704225,0.15615865394923534,0.09090909090909091,0.07998150231657032,-0.144976768630389,9.210389610389608,20.2,0.1,10.227272727272727,8,1,3,0,0.31,3,1,9,279,221,0.79,5,7,3,0.7123287671232876,0.6787234042553192,1.8065071652616693,0.10768543440692507,0.10761920647811658,0.1260429844919797,0.0909090909090909,0.08926851787668445,-0.2242527395277329,6.508874458874459,14.600000000000001,0.43333333333333335,8.272509353391706,1
13,1,4,3,0.47,2,0,8,478,398,0.83,5,8,5,0.8235294117647058,0.7753378378378378,1.8310204811135162,0.0981734247072747,0.10109575791873349,0.13081716695391657,0.09090909090909091,0.09205040574897085,-0.12818647046143963,7.714177489177488,17.0,0.27777777777777773,9.066100566100568,18,0,4,3,0.53,1,0,12,544,477,0.88,5,10,2,0.9090909090909091,0.90125,1.9598829602312229,0.10831764486621057,0.11784432545180124,0.13357882363076234,0.09090909090909093,0.09270569461135712,-0.1403332674584793,8.988600288600288,19.8,0.12222222222222223,10.108225108225108,1
18,0,4,3,0.53,1,0,12,544,477,0.88,5,10,2,0.9090909090909091,0.90125,1.9598829602312229,0.10831764486621057,0.11784432545180124,0.13357882363076234,0.09090909090909093,0.09270569461135712,-0.1403332674584793,8.988600288600288,19.8,0.12222222222222223,10.108225108225108,13,1,4,3,0.47,2,0,8,478,398,0.83,5,8,5,0.8235294117647058,0.7753378378378378,1.8310204811135162,0.0981734247072747,0.10109575791873349,0.13081716695391657,0.09090909090909091,0.09205040574897085,-0.12818647046143963,7.714177489177488,17.0,0.27777777777777773,9.066100566100568,0
12,1,5,1,0.57,2,0,10,579,505,0.87,6,8,6,0.8539325842696629,0.8,1.8127643224016177,0.10343233678480855,0.11409729348157428,0.13708998594356173,0.09090909090909091,0.08393267527725135,-0.08743201167420038,8.104834054834056,17.8,0.23333333333333334,9.292540792540793,12,0,5,5,0.43,3,0,11,469,403,0.86,7,8,2,0.8433734939759037,0.7771929824561403,1.8181016230923588,0.11002802637726529,0.12144877412823524,0.12502940895482711,0.09090909090909093,0.09683895706475447,-0.2027580174641287,7.651587301587301,16.6,0.30000000000000004,8.985972360972362,1
12,0,5,5,0.43,3,0,11,469,403,0.86,7,8,2,0.8433734939759037,0.7771929824561403,1.8181016230923588,0.11002802637726529,0.12144877412823524,0.12502940895482711,0.09090909090909093,0.09683895706475447,-0.2027580174641287,7.651587301587301,16.6,0.30000000000000004,8.985972360972362,12,1,5,1,0.57,2,0,10,579,505,0.87,6,8,6,0.8539325842696629,0.8,1.8127643224016177,0.10343233678480855,0.11409729348157428,0.13708998594356173,0.09090909090909091,0.08393267527725135,-0.08743201167420038,8.104834054834056,17.8,0.23333333333333334,9.292540792540793,0
8,1,0,5,0.6,1,0,15,582,488,0.84,7,8,2,0.8863636363636364,0.8144654088050315,1.887375652614756,0.11417925362605622,0.12423998325974378,0.13574284332073858,0.09090909090909091,0.10129778095759806,-0.18233451667951914,8.162373737373738,17.599999999999998,0.24444444444444444,9.32117882117882,14,0,2,2,0.4,1,0,12,370,277,0.75,5,9,2,0.7560975609756098,0.7821428571428571,1.9054200431101371,0.10624753235586609,0.10938510511397803,0.14142045804701858,0.0909090909090909,0.09330873304647445,-0.13313593281843486,7.412626262626264,16.4,0.3222222222222222,8.933011433011433,0
14,0,2,2,0.4,1,0,12,370,277,0.75,5,9,2,0.7560975609756098,0.7821428571428571,1.9054200431101371,0.10624753235586609,0.10938510511397803,0.14142045804701858,0.0909090909090909,0.09330873304647445,-0.13313593281843486,7.412626262626264,16.4,0.3222222222222222,8.933011433011433,8,1,0,5,0.6,1,0,15,582,488,0.84,7,8,2,0.8863636363636364,0.8144654088050315,1.887375652614756,0.11417925362605622,0.12423998325974378,0.13574284332073858,0.09090909090909091,0.10129778095759806,-0.18233451667951914,8.162373737373738,17.599999999999998,0.24444444444444444,9.32117882117882,1
