attemps,ishometeam,Corners,Offsides,Ball_Posession,Yellow_cards,Red_cards,Fouls_suffered,passes_attemted,passes_completed,pass_completion_rate,diameter,largest_cliques,countmax_cliques,reciprocity,global_clustering,diversity,hubs,authorities,pagerank_max,pagerank_mean,pagerank_median,assortativity,AverageNeighborhood,degree_centralization,betweenness_centralization,closeness_centralization,label
13,0,3,1,0.53,1,0,12,441,381,0.86,6,8,3,0.7920792079207921,0.663563829787234,1.8778382404072833,0.09589469752180466,0.09765880522877025,0.12231915490455719,0.06666666666666667,0.06261208422620114,-0.17277349030080993,8.308886483886484,14.428571428571425,0.6868131868131868,9.715396041866631,1
11,1,4,0,0.49,6,1,16,398,315,0.79,8,8,1,0.7543859649122807,0.6098654708520179,1.7813622099099247,0.06945823004330035,0.08535853172852233,0.15741651532359743,0.0625,0.06417878438774786,-0.19191214225879794,7.700631313131313,15.200000000000001,0.6,9.74124513593823,0
15,0,6,1,0.51,4,0,17,436,357,0.82,5,9,1,0.7037037037037037,0.6348448687350835,1.9160917110261038,0.08869445169919776,0.09718133451132915,0.1448515584714539,0.06666666666666665,0.05644682751140842,0.008189115773168448,7.917962962962962,15.428571428571429,0.5989010989010989,10.03647749851142,0
10,1,8,0,0.56,4,0,8,476,376,0.79,4,8,6,0.7272727272727273,0.6294964028776978,1.8981462439276728,0.08141589483103316,0.0804086842863736,0.10938615607007332,0.0625,0.055173477557180495,-0.11227576675651635,9.013147095959596,17.599999999999998,0.5428571428571427,10.987676234714868,0
13,0,3,0,0.44,3,0,22,376,277,0.74,5,6,6,0.723404255319149,0.6022727272727273,1.6518175466490252,0.09241379774058484,0.09881071022701787,0.1331587337661204,0.06666666666666667,0.07680442738562002,-0.22564324935178823,7.662876382876381,13.428571428571425,0.5989010989010989,9.18326333510544,1
26,1,5,2,0.56,2,0,7,593,543,0.92,8,8,3,0.8468468468468469,0.7528735632183908,1.9127694135649975,0.09856475189219618,0.10992125928334057,0.13864601256426742,0.06666666666666668,0.06380243242107494,-0.03293202862020413,8.259764309764309,15.857142857142854,0.5164835164835164,9.909303014134949,1
12,0,5,0,0.44,1,0,12,438,372,0.85,4,8,4,0.7619047619047619,0.6586073500967118,2.0172895236746977,0.09040361019979816,0.0946969471684418,0.12800255047489748,0.0625,0.054746377687927915,-0.21183033379182392,9.273548673548673,16.8,0.580952380952381,10.90448576004842,0
4,1,1,1,0.33,0,0,9,260,170,0.65,7,6,2,0.6444444444444445,0.46577946768060835,1.5850741607377534,0.08761353509398082,0.09028618890691953,0.10468099016620933,0.06249999999999999,0.052360002736025285,-0.1349942719309033,6.490972222222222,11.999999999999998,0.8523809523809524,9.295506155513653,0
22,0,8,2,0.67,2,0,12,667,589,0.88,6,9,2,0.8807339449541285,0.7595936794582393,1.8475344105647666,0.10372224584043772,0.11530588298517938,0.13860431105063417,0.0769230769230769,0.07432446752259758,-0.17187151279586518,9.075252525252527,18.166666666666664,0.356060606060606,10.168315018315017,1
10,1,2,4,0.53,1,0,12,531,465,0.88,4,10,1,0.8,0.6808681672025724,1.9775958491304286,0.08426098002833057,0.08643853156165576,0.11357683066619034,0.06249999999999999,0.0707319795113926,-0.15140318832705588,9.717194264069265,18.666666666666668,0.4761904761904762,11.462490785787997,1
7,0,5,2,0.47,2,0,11,475,399,0.84,5,9,1,0.8175182481751825,0.6666666666666666,2.0310982087268075,0.0840896456430257,0.07780946301423487,0.10349497256055526,0.0625,0.06544589591034342,-0.22611538552694974,9.672738546176046,18.26666666666667,0.5142857142857143,11.293947842588306,0
10,1,4,1,0.4,1,0,13,357,298,0.83,7,8,5,0.7387387387387387,0.6646039603960396,1.8536604237845444,0.09312579117824432,0.0839914609544409,0.10025602511622214,0.0625,0.06431852248481897,0.0402376089885642,7.531198142135641,14.799999999999997,0.7428571428571429,9.89334063601601,1
11,0,7,5,0.6,3,0,12,636,563,0.89,6,9,2,0.816,0.7040229885057471,1.949815938902706,0.08912106660282369,0.09869097507757499,0.13052380208364475,0.06666666666666667,0.07305687834842062,-0.07941478634041634,9.141767676767676,17.857142857142854,0.47802197802197804,10.842727627811085,0
13,1,8,1,0.55,1,0,3,496,442,0.89,6,7,5,0.8297872340425532,0.6584302325581395,1.6715208900000298,0.1118842982115669,0.11209539817414635,0.13972999590136617,0.07142857142857142,0.06911004460029585,-0.3779248373189992,8.527020202020202,14.46153846153846,0.6089743589743588,9.542442660760349,0
11,0,6,1,0.45,1,0,9,483,431,0.89,6,9,4,0.8275862068965517,0.7599164926931107,1.9355507505209895,0.08788979843192295,0.09194432471451794,0.11329023832198958,0.07142857142857141,0.08224569456749847,-0.15309686688187535,9.11374458874459,17.846153846153847,0.4743589743589743,10.248826070710773,1
13,1,5,1,0.62,1,0,12,627,532,0.85,7,10,2,0.816,0.7262773722627737,2.024616737310616,0.09473724023468641,0.1026592573739782,0.1299511281775081,0.06666666666666667,0.06336951118231124,-0.1083478385500398,8.926363636363636,17.857142857142858,0.543956043956044,10.414226292426541,1
4,0,3,2,0.38,1,0,8,355,249,0.7,5,8,3,0.5925925925925926,0.5313351498637602,1.8523730676509675,0.07499880700245151,0.08744730930429681,0.12041025775472933,0.06249999999999999,0.06285584313673756,-0.14076992517684875,7.2300843253968266,14.399999999999997,0.7047619047619048,10.047623195561725,0
9,1,1,6,0.43,4,0,4,382,303,0.79,4,8,3,0.7706422018348624,0.672209026128266,1.9173199853595584,0.09637765740718747,0.09651573314637893,0.1272664778497382,0.07142857142857141,0.08134391828084797,-0.29467283092856583,8.656851680065966,16.76923076923077,0.46794871794871784,10.226512471017116,0
13,0,2,2,0.57,1,0,14,628,542,0.86,6,10,1,0.8088235294117647,0.6795952782462057,1.9302728309132828,0.07345169237015481,0.07941602407802831,0.12761831714769287,0.0625,0.06031679963510988,-0.12412647966443476,9.504085497835499,18.13333333333333,0.5428571428571428,11.231948501984844,0
13,1,10,2,0.56,2,0,8,420,346,0.82,7,8,1,0.7857142857142857,0.62625,1.7585844958018264,0.08261804299882382,0.09007012491385413,0.11907265490874033,0.0625,0.06868186768288773,0.1540759082984307,7.500678661616161,14.933333333333335,0.8238095238095239,9.619431168116146,1
